iter	Passed	Remaining
0	167	167256
1	182	90909
2	195	65008
3	207	51760
4	218	43469
5	230	38265
6	243	34473
7	257	31872
8	270	29768
9	280	27758
10	289	26018
11	297	24477
12	306	23263
13	314	22169
14	323	21253
15	331	20375
16	340	19697
17	349	19085
18	358	18508
19	367	18011
20	375	17491
21	383	17067
22	391	16641
23	402	16352
24	412	16068
25	421	15773
26	429	15466
27	437	15201
28	445	14931
29	455	14712
30	462	14467
31	472	14285
32	480	14078
33	488	13887
34	497	13716
35	505	13532
36	514	13394
37	524	13270
38	534	13178
39	546	13120
40	556	13014
41	568	12975
42	578	12879
43	588	12786
44	598	12706
45	607	12601
46	618	12532
47	628	12461
48	637	12380
49	648	12317
50	657	12227
51	668	12179
52	677	12110
53	686	12021
54	695	11947
55	703	11851
56	711	11777
57	719	11688
58	728	11613
59	735	11526
60	744	11460
61	752	11383
62	761	11331
63	769	11252
64	778	11200
65	786	11125
66	796	11087
67	803	11013
68	812	10957
69	819	10892
70	828	10839
71	836	10778
72	848	10769
73	860	10766
74	872	10762
75	884	10749
76	898	10773
77	910	10759
78	923	10760
79	934	10747
80	948	10760
81	961	10759
82	972	10747
83	984	10732
84	994	10701
85	1002	10652
86	1009	10594
87	1016	10536
88	1025	10493
89	1032	10438
90	1040	10397
91	1048	10345
92	1060	10341
93	1086	10468
94	1107	10554
95	1123	10574
96	1140	10617
97	1150	10591
98	1160	10558
99	1172	10550
100	1183	10537
101	1194	10519
102	1206	10510
103	1215	10475
104	1224	10439
105	1234	10411
106	1243	10377
107	1252	10346
108	1261	10308
109	1271	10287
110	1279	10251
111	1289	10225
112	1299	10200
113	1309	10174
114	1319	10150
115	1328	10120
116	1337	10094
117	1345	10054
118	1353	10018
119	1360	9976
120	1368	9943
121	1376	9904
122	1384	9871
123	1391	9833
124	1400	9806
125	1408	9766
126	1416	9734
127	1423	9697
128	1431	9666
129	1438	9630
130	1447	9599
131	1454	9564
132	1462	9534
133	1470	9501
134	1478	9472
135	1485	9439
136	1493	9408
137	1502	9383
138	1509	9349
139	1517	9323
140	1525	9293
141	1533	9267
142	1541	9236
143	1549	9209
144	1556	9178
145	1565	9155
146	1572	9125
147	1582	9112
148	1591	9087
149	1602	9078
150	1610	9055
151	1618	9030
152	1626	9006
153	1634	8977
154	1642	8956
155	1650	8929
156	1658	8907
157	1666	8880
158	1673	8853
159	1681	8829
160	1688	8801
161	1697	8781
162	1705	8756
163	1714	8737
164	1721	8711
165	1729	8691
166	1736	8663
167	1746	8649
168	1753	8624
169	1762	8605
170	1769	8577
171	1777	8557
172	1784	8532
173	1793	8513
174	1800	8487
175	1809	8470
176	1816	8446
177	1824	8427
178	1832	8403
179	1840	8383
180	1848	8361
181	1856	8343
182	1864	8322
183	1872	8304
184	1880	8283
185	1888	8263
186	1895	8242
187	1903	8221
188	1911	8202
189	1919	8181
190	1928	8166
191	1935	8144
192	1943	8127
193	1950	8105
194	1959	8088
195	1966	8065
196	1975	8051
197	1982	8030
198	1992	8018
199	1999	7997
200	2008	7982
201	2015	7961
202	2024	7949
203	2033	7932
204	2042	7920
205	2051	7908
206	2060	7892
207	2071	7886
208	2081	7876
209	2091	7869
210	2101	7858
211	2111	7846
212	2121	7837
213	2129	7821
214	2139	7811
215	2148	7797
216	2157	7785
217	2166	7773
218	2175	7759
219	2185	7748
220	2194	7734
221	2203	7723
222	2212	7708
223	2222	7698
224	2230	7681
225	2238	7665
226	2245	7646
227	2255	7635
228	2262	7616
229	2270	7601
230	2277	7582
231	2286	7568
232	2293	7549
233	2302	7536
234	2309	7519
235	2319	7508
236	2326	7490
237	2335	7477
238	2342	7459
239	2351	7444
240	2358	7427
241	2366	7412
242	2373	7395
243	2382	7381
244	2389	7364
245	2399	7353
246	2406	7335
247	2414	7320
248	2421	7304
249	2430	7290
250	2437	7274
251	2447	7263
252	2455	7248
253	2464	7237
254	2472	7222
255	2481	7211
256	2491	7202
257	2500	7191
258	2508	7175
259	2517	7165
260	2526	7153
261	2534	7140
262	2543	7127
263	2551	7113
264	2559	7098
265	2567	7083
266	2574	7066
267	2583	7056
268	2591	7042
269	2600	7029
270	2607	7013
271	2615	7000
272	2622	6983
273	2631	6973
274	2639	6957
275	2647	6945
276	2654	6929
277	2663	6916
278	2670	6901
279	2678	6888
280	2686	6873
281	2694	6861
282	2702	6845
283	2710	6833
284	2717	6818
285	2726	6805
286	2733	6789
287	2741	6777
288	2748	6763
289	2757	6750
290	2764	6734
291	2772	6722
292	2780	6709
293	2788	6697
294	2796	6682
295	2803	6668
296	2811	6655
297	2818	6640
298	2827	6627
299	2834	6614
300	2843	6603
301	2850	6589
302	2859	6577
303	2866	6562
304	2874	6550
305	2881	6534
306	2889	6522
307	2896	6508
308	2905	6496
309	2912	6481
310	2920	6470
311	2927	6455
312	2936	6444
313	2943	6431
314	2951	6418
315	2958	6404
316	2966	6390
317	2974	6378
318	2981	6363
319	2989	6351
320	2996	6337
321	3004	6325
322	3011	6311
323	3019	6300
324	3026	6286
325	3034	6273
326	3041	6259
327	3049	6246
328	3056	6234
329	3064	6220
330	3072	6209
331	3079	6196
332	3087	6185
333	3094	6171
334	3103	6160
335	3110	6146
336	3120	6138
337	3128	6128
338	3138	6119
339	3147	6110
340	3156	6100
341	3165	6091
342	3175	6083
343	3185	6075
344	3195	6066
345	3204	6057
346	3214	6049
347	3223	6038
348	3232	6029
349	3240	6018
350	3250	6010
351	3259	5999
352	3268	5990
353	3275	5977
354	3283	5966
355	3292	5955
356	3300	5944
357	3308	5932
358	3316	5920
